contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
558,Codeforces Round 312 (Div. 2),Benq,2087,2015-07-14 17:10:00,0,1404,1404
560,Codeforces Round 313 (Div. 2),Benq,1583,2015-07-22 16:00:00,1404,1353,-51
569,Codeforces Round 315 (Div. 2),Benq,2003,2015-08-10 18:30:00,1353,1279,-74
570,Codeforces Round 316 (Div. 2),Benq,384,2015-08-13 18:30:00,1279,1503,224
572,Codeforces Round 317 [AimFund Thanks-Round] (Div. 2),Benq,1553,2015-08-22 18:30:00,1503,1433,-70
596,Codeforces Round 331 (Div. 2),Benq,607,2015-11-15 18:35:00,1433,1500,67
611,Good Bye 2015,Benq,2402,2015-12-30 18:05:00,1500,1494,-6
617,Codeforces Round 340 (Div. 2),Benq,444,2016-01-23 17:35:00,1494,1574,80
621,Codeforces Round 341 (Div. 2),Benq,238,2016-01-31 16:05:00,1574,1680,106
658,VK Cup 2016 - Round 1 (Div. 2 Edition),Benq,145,2016-03-28 18:35:00,1680,1741,61
659,Codeforces Round 346 (Div. 2),Benq,106,2016-03-30 18:35:00,1741,1833,92
682,Codeforces Round 358 (Div. 2),Benq,224,2016-06-17 18:35:00,1833,1855,22
686,Codeforces Round 359 (Div. 2),Benq,54,2016-06-23 18:35:00,1855,1942,87
687,Codeforces Round 360 (Div. 1),Benq,211,2016-06-29 19:05:00,1942,1997,55
704,Codeforces Round 366 (Div. 1),Benq,413,2016-08-07 16:05:00,1997,1951,-46
708,AIM Tech Round 3 (Div. 1),Benq,435,2016-08-24 18:35:00,1951,1922,-29
722,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Benq,182,2016-10-01 16:05:00,1922,2030,108
724,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Benq,475,2016-10-08 15:15:00,2030,2020,-10
725,Canada Cup 2016,Benq,260,2016-10-22 17:35:00,2020,2067,47
736,Codeforces Round 382 (Div. 1),Benq,151,2016-11-27 18:35:00,2067,2117,50
750,Good Bye 2016,Benq,226,2016-12-30 16:45:00,2117,2180,63
755,8VC Venture Cup 2017 - Elimination Round,Benq,140,2017-01-15 19:05:00,2180,2251,71
790,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Benq,112,2017-03-18 17:35:00,2251,2264,13
800,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",Benq,17,2017-04-16 17:35:00,2264,2419,155
806,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",Benq,65,2017-05-07 18:45:00,2419,2445,26
809,Codeforces Round 415 (Div. 1),Benq,61,2017-05-20 20:05:00,2445,2460,15
827,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Benq,155,2017-07-11 18:45:00,2460,2399,-61
830,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Benq,51,2017-07-13 17:05:00,2399,2448,49
833,Codeforces Round 426 (Div. 1),Benq,46,2017-07-30 16:35:00,2448,2492,44
840,Codeforces Round 429 (Div. 1),Benq,44,2017-08-18 17:05:00,2492,2530,38
843,AIM Tech Round 4 (Div. 1),Benq,15,2017-08-24 19:05:00,2530,2649,119
848,Codeforces Round 431 (Div. 1),Benq,101,2017-09-01 15:35:00,2649,2589,-60
850,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Benq,162,2017-09-04 17:05:00,2589,2484,-105
853,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Benq,42,2017-09-06 14:55:00,2484,2519,35
859,MemSQL Start[c]UP 3.0 - Round 1,Benq,16,2017-09-16 20:05:00,2519,2635,116
855,"Manthan, Codefest 17",Benq,264,2017-09-24 17:05:00,2635,2508,-127
866,MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),Benq,9,2017-09-30 20:05:00,2508,2656,148
906,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Benq,15,2017-12-23 16:05:00,2656,2722,66
908,Good Bye 2017,Benq,89,2017-12-29 18:10:00,2722,2683,-39
914,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Benq,82,2018-01-20 18:35:00,2683,2643,-40
936,Codeforces Round 467 (Div. 1),Benq,24,2018-02-25 18:05:00,2643,2680,37
930,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",Benq,4,2018-03-04 17:35:00,2680,2825,145
947,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Benq,61,2018-03-10 17:35:00,2825,2759,-66
956,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Benq,44,2018-03-24 17:50:00,2759,2712,-47
960,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Benq,2,2018-04-07 18:35:00,2712,2893,181
963,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),Benq,18,2018-04-17 16:05:00,2893,2875,-18
