contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
1238,Educational Codeforces Round 74 (Rated for Div. 2),Milashka,5874,2019-10-08 16:55:00,0,1389,1389
1237,Codeforces Global Round 5,Milashka,5470,2019-10-16 17:05:00,1389,1326,-63
1227,Technocup 2020 - Elimination Round 3,Milashka,795,2019-11-24 10:05:00,1326,1313,-13
1359,Educational Codeforces Round 88 (Rated for Div. 2),Milashka,1404,2020-05-28 16:35:00,1313,1471,158
1363,Codeforces Round 646 (Div. 2),Milashka,2745,2020-05-31 16:35:00,1471,1530,59
1362,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Milashka,3328,2020-06-04 17:05:00,1530,1528,-2
1421,Codeforces Round 676 (Div. 2),Milashka,4831,2020-10-18 11:05:00,1528,1449,-79
1436,Codeforces Round 678 (Div. 2),Milashka,1321,2020-10-24 16:15:00,1449,1523,74
1413,Technocup 2021 - Elimination Round 1,Milashka,104,2020-10-25 13:05:00,1523,1683,160
1443,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Milashka,364,2020-11-02 16:35:00,1683,1746,63
1447,"Codeforces Round 683 (Div. 2, by Meet IT)",Milashka,1703,2020-11-15 17:05:00,1746,1682,-64
1451,Codeforces Round 685 (Div. 2),Milashka,1371,2020-11-21 16:50:00,1682,1702,20
1466,Good Bye 2020,Milashka,5951,2020-12-30 17:35:00,1702,1615,-87
1471,Codeforces Round 694 (Div. 2),Milashka,358,2021-01-05 16:35:00,1615,1727,112
1473,Educational Codeforces Round 102 (Rated for Div. 2),Milashka,656,2021-01-14 16:35:00,1727,1780,53
1513,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Milashka,715,2021-04-11 16:35:00,1780,1802,22
1511,Educational Codeforces Round 107 (Rated for Div. 2),Milashka,290,2021-04-12 16:35:00,1802,1875,73
1525,Educational Codeforces Round 109 (Rated for Div. 2),Milashka,793,2021-05-16 10:00:00,1875,1859,-16
1529,Codeforces Round 722 (Div. 2),Milashka,452,2021-05-24 16:50:00,1859,1880,21
1523,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",Milashka,1762,2021-05-30 16:50:00,1880,1854,-26
1535,Educational Codeforces Round 110 (Rated for Div. 2),Milashka,298,2021-06-04 16:35:00,1854,1919,65
1536,Codeforces Round 724 (Div. 2),Milashka,172,2021-06-06 16:35:00,1919,1995,76
1542,Codeforces Round 729 (Div. 2),Milashka,488,2021-07-03 15:05:00,1995,1997,2
1543,Codeforces Round 730 (Div. 2),Milashka,263,2021-07-07 16:50:00,1997,2030,33
1545,Codeforces Round 732 (Div. 1),Milashka,860,2021-07-11 16:35:00,2030,1958,-72
1530,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Milashka,2343,2021-07-17 17:35:00,1958,1882,-76
1559,Codeforces Round 738 (Div. 2),Milashka,1448,2021-08-15 16:50:00,1882,1849,-33
1604,Codeforces Round 752 (Div. 2),Milashka,31,2021-10-30 16:35:00,1849,1994,145
1609,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Milashka,1214,2021-11-28 17:05:00,1994,1956,-38
1585,Technocup 2022 - Elimination Round 3,Milashka,11,2021-12-12 17:15:00,1956,2013,57
1657,Educational Codeforces Round 125 (Rated for Div. 2),Milashka,852,2022-03-22 16:45:00,2013,1964,-49
1656,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Milashka,1235,2022-03-24 16:35:00,1964,1955,-9
1905,Codeforces Round 915 (Div. 2),Milashka,836,2023-12-16 16:35:00,1955,1919,-36
1913,Educational Codeforces Round 160 (Rated for Div. 2),Milashka,149,2023-12-18 16:35:00,1919,1994,75
1917,Codeforces Round 917 (Div. 2),Milashka,239,2023-12-24 16:35:00,1994,2033,39
1916,Good Bye 2023,Milashka,1499,2023-12-30 16:50:00,2033,2019,-14
1998,Codeforces Round 965 (Div. 2),Milashka,266,2024-08-10 16:35:00,2019,2057,38
2055,Codeforces Round 996 (Div. 2),Milashka,5815,2025-01-12 16:35:00,2057,1905,-152
2056,Codeforces Round 997 (Div. 2),Milashka,1855,2025-01-17 16:35:00,1905,1851,-54
2061,"IAEPC Preliminary Contest (Codeforces Round 999, Div. 1 + Div. 2)",Milashka,1489,2025-01-20 17:35:00,1851,1849,-2
2059,Codeforces Round 1002 (Div. 2),Milashka,2135,2025-02-02 16:35:00,1849,1805,-44
2070,Educational Codeforces Round 175 (Rated for Div. 2),Milashka,284,2025-02-27 16:35:00,1805,1885,80
2085,Codeforces Round 1011 (Div. 2),Milashka,176,2025-03-22 16:35:00,1885,1974,89
2092,Codeforces Round 1014 (Div. 2),Milashka,2,2025-03-29 16:35:00,1974,2256,282
