contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
2,Codeforces Beta Round 2,Petr,5,2010-02-25 19:00:00,0,1625,1625
3,Codeforces Beta Round 3,Petr,1,2010-03-07 14:00:00,1625,1775,150
5,Codeforces Beta Round 5,Petr,1,2010-03-20 18:00:00,1775,1891,116
7,Codeforces Beta Round 7,Petr,1,2010-04-01 17:45:00,1891,1977,86
8,Codeforces Beta Round 8,Petr,1,2010-04-08 17:45:00,1977,2046,69
10,Codeforces Beta Round 10,Petr,1,2010-04-15 17:45:00,2046,2109,63
11,Codeforces Beta Round 11,Petr,9,2010-04-26 17:00:00,2109,2126,17
36,Codeforces Beta Round 36,Petr,2,2010-10-19 12:00:00,2126,2183,57
40,Codeforces Beta Round 39,Petr,2,2010-11-05 18:00:00,2183,2240,57
46,School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round 43 (ACM-ICPC Rules),Petr,1,2010-12-05 11:00:00,2240,2279,39
51,Codeforces Beta Round 48,Petr,4,2010-12-28 18:30:00,2279,2320,41
54,Codeforces Beta Round 50,Petr,17,2011-01-11 10:15:00,2320,2276,-44
55,Codeforces Beta Round 51,Petr,5,2011-01-14 10:00:00,2276,2310,34
68,Codeforces Beta Round 62,Petr,10,2011-03-18 18:00:00,2310,2344,34
70,Codeforces Beta Round 64,Petr,1,2011-03-26 18:00:00,2344,2391,47
73,Codeforces Beta Round 66,Petr,14,2011-04-10 10:30:00,2391,2374,-17
79,Codeforces Beta Round 71,Petr,2,2011-04-30 17:00:00,2374,2416,42
81,Yandex.Algorithm Open 2011: Qualification 1,Petr,4,2011-05-04 07:00:00,2416,2441,25
85,Yandex.Algorithm 2011: Round 1,Petr,2,2011-05-20 17:00:00,2441,2504,63
86,Yandex.Algorithm 2011: Round 2,Petr,1,2011-05-22 17:10:00,2504,2562,58
87,Codeforces Beta Round 73 (Div. 1 Only),Petr,6,2011-06-07 17:00:00,2562,2573,11
95,Codeforces Beta Round 77 (Div. 1 Only),Petr,8,2011-07-08 17:00:00,2573,2566,-7
97,Yandex.Algorithm 2011: Finals,Petr,1,2011-07-15 14:00:00,2566,2588,22
109,Codeforces Beta Round 84 (Div. 1 Only),Petr,4,2011-08-29 18:00:00,2588,2601,13
115,Codeforces Beta Round 87 (Div. 1 Only),Petr,2,2011-09-15 17:00:00,2601,2622,21
121,Codeforces Beta Round 91 (Div. 1 Only),Petr,4,2011-10-27 17:00:00,2622,2628,6
123,Codeforces Beta Round 92 (Div. 1 Only),Petr,6,2011-11-03 17:10:00,2628,2612,-16
140,Codeforces Round 100,Petr,4,2012-01-04 17:00:00,2612,2652,40
150,Codeforces Round 107 (Div. 1),Petr,2,2012-02-17 17:00:00,2652,2703,51
173,Croc Champ 2012 - Round 1,Petr,4,2012-04-06 17:00:00,2703,2711,8
193,Codeforces Round 122 (Div. 1),Petr,1,2012-06-03 17:30:00,2711,2762,51
196,Codeforces Round 124 (Div. 1),Petr,5,2012-06-12 15:00:00,2762,2764,2
198,Codeforces Round 125 (Div. 1),Petr,1,2012-06-22 17:30:00,2764,2837,73
213,Codeforces Round 131 (Div. 1),Petr,2,2012-07-30 17:30:00,2837,2866,29
217,Codeforces Round 134 (Div. 1),Petr,5,2012-08-18 09:05:00,2866,2850,-16
223,Codeforces Round 138 (Div. 1),Petr,1,2012-09-16 17:30:00,2850,2912,62
235,Codeforces Round 146 (Div. 1),Petr,4,2012-10-21 09:10:00,2912,2902,-10
243,Codeforces Round 150 (Div. 1),Petr,18,2012-11-16 17:40:00,2902,2838,-64
251,Codeforces Round 153 (Div. 1),Petr,12,2012-12-06 17:30:00,2838,2789,-49
258,Codeforces Round 157 (Div. 1),Petr,6,2012-12-22 17:30:00,2789,2781,-8
261,Codeforces Round 160 (Div. 1),Petr,13,2013-01-13 17:30:00,2781,2736,-45
264,Codeforces Round 162 (Div. 1),Petr,1,2013-01-20 15:00:00,2736,2812,76
269,Codeforces Round 165 (Div. 1),Petr,15,2013-02-01 17:30:00,2812,2766,-46
274,Codeforces Round 168 (Div. 1),Petr,2,2013-02-20 17:30:00,2766,2802,36
277,Codeforces Round 170 (Div. 1),Petr,3,2013-02-28 17:30:00,2802,2822,20
280,Codeforces Round 172 (Div. 1),Petr,4,2013-03-10 17:30:00,2822,2828,6
292,Croc Champ 2013 - Round 1,Petr,4,2013-04-15 17:35:00,2828,2848,20
293,Croc Champ 2013 - Round 2,Petr,406,2013-04-22 17:45:00,2848,2744,-104
303,Codeforces Round 183 (Div. 1),Petr,6,2013-05-12 15:00:00,2744,2746,2
316,ABBYY Cup 3.0,Petr,7,2013-06-12 17:00:00,2746,2756,10
319,Codeforces Round 189 (Div. 1),Petr,86,2013-06-23 15:10:00,2756,2654,-102
325,MemSQL start[c]up Round 1,Petr,2,2013-07-13 19:00:00,2654,2718,64
324,ABBYY Cup 3.0 - Finals,Petr,5,2013-07-17 08:40:00,2718,2700,-18
329,Codeforces Round 192 (Div. 1),Petr,4,2013-07-20 15:30:00,2700,2725,25
326,MemSQL start[c]up Round 2,Petr,1,2013-08-03 20:00:00,2725,2753,28
343,Codeforces Round 200 (Div. 1),Petr,7,2013-09-14 17:40:00,2753,2755,2
346,Codeforces Round 201 (Div. 1),Petr,11,2013-09-20 17:30:00,2755,2729,-26
351,Codeforces Round 204 (Div. 1),Petr,112,2013-10-04 17:30:00,2729,2622,-107
364,Codeforces Round 213 (Div. 1),Petr,10,2013-11-19 17:35:00,2622,2630,8
367,Codeforces Round 215 (Div. 1),Petr,3,2013-11-26 17:30:00,2630,2676,46
372,Codeforces Round 219 (Div. 1),Petr,66,2013-12-13 16:00:00,2676,2596,-80
377,Codeforces Round 222 (Div. 1),Petr,1,2013-12-29 17:30:00,2596,2694,98
379,Good Bye 2013,Petr,17,2013-12-30 17:30:00,2694,2664,-30
380,Codeforces Round 223 (Div. 1),Petr,1,2014-01-12 17:30:00,2664,2753,89
388,Codeforces Round 228 (Div. 1),Petr,6,2014-02-03 17:45:00,2753,2764,11
403,Codeforces Round 236 (Div. 1),Petr,41,2014-03-16 17:30:00,2764,2687,-77
407,Codeforces Round 239 (Div. 1),Petr,4,2014-03-30 09:00:00,2687,2717,30
425,Codeforces Round 243 (Div. 1),Petr,5,2014-04-27 17:30:00,2717,2734,17
438,Codeforces Round 250 (Div. 1),Petr,2,2014-06-01 15:00:00,2734,2787,53
436,Zepto Code Rush 2014,Petr,40,2014-06-13 18:00:00,2787,2720,-67
446,Codeforces Round #FF (Div. 1),Petr,18,2014-07-13 15:00:00,2720,2685,-35
452,MemSQL Start[c]UP 2.0 - Round 1,Petr,18,2014-07-27 19:30:00,2685,2685,0
453,Codeforces Round 259 (Div. 1),Petr,1,2014-08-01 17:30:00,2685,2770,85
458,MemSQL Start[c]UP 2.0 - Round 2 - Online Round,Petr,6,2014-08-10 20:00:00,2770,2786,16
464,Codeforces Round 265 (Div. 1),Petr,2,2014-09-07 17:30:00,2786,2837,51
472,Codeforces Round 270,Petr,1,2014-09-28 18:05:00,2837,2890,53
477,Codeforces Round 272 (Div. 1),Petr,1,2014-10-12 16:00:00,2890,2950,60
482,Codeforces Round 275 (Div. 1),Petr,2,2014-10-24 19:10:00,2950,2973,23
497,Codeforces Round 283 (Div. 1),Petr,2,2014-12-17 18:30:00,2973,2996,23
500,Good Bye 2014,Petr,2,2014-12-30 17:30:00,2996,3002,6
506,Codeforces Round 286 (Div. 1),Petr,100,2015-01-18 15:00:00,3002,2893,-109
512,Codeforces Round 290 (Div. 1),Petr,1,2015-02-02 18:35:00,2893,2965,72
513,Rockethon 2015,Petr,3,2015-02-07 20:15:00,2965,2973,8
521,Codeforces Round 295 (Div. 1),Petr,1,2015-03-02 09:05:00,2973,3045,72
526,ZeptoLab Code Rush 2015,Petr,16,2015-04-04 19:05:00,3045,2990,-55
536,Codeforces Round 299 (Div. 1),Petr,6,2015-04-14 18:35:00,2990,2973,-17
538,Codeforces Round 300,Petr,3,2015-04-26 18:30:00,2973,2987,14
543,Codeforces Round 302 (Div. 1),Petr,1,2015-05-07 18:30:00,2987,3067,80
549,Looksery Cup 2015,Petr,3,2015-06-06 15:30:00,3067,3077,10
555,Codeforces Round 310 (Div. 1),Petr,2,2015-06-27 16:10:00,3077,3109,32
566,"VK Cup 2015 - Finals, online mirror",Petr,4,2015-07-30 19:20:00,3109,3103,-6
568,Codeforces Round 315 (Div. 1),Petr,2,2015-08-10 18:30:00,3103,3127,24
571,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Petr,38,2015-08-22 18:30:00,3127,3029,-98
573,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Petr,9,2015-08-29 18:40:00,3029,3003,-26
603,Codeforces Round 334 (Div. 1),Petr,16,2015-12-01 17:35:00,3003,2960,-43
611,Good Bye 2015,Petr,2,2015-12-30 18:05:00,2960,3070,110
613,Codeforces Round 339 (Div. 1),Petr,3,2016-01-14 18:35:00,3070,3107,37
618,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Petr,2,2016-01-29 19:10:00,3107,3166,59
626,8VC Venture Cup 2016 - Elimination Round,Petr,1,2016-02-13 20:05:00,3166,3292,126
627,8VC Venture Cup 2016 - Final Round,Petr,12,2016-02-28 20:10:00,3292,3212,-80
645,CROC 2016 - Elimination Round,Petr,1,2016-03-18 18:35:00,3212,3342,130
668,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",Petr,3,2016-04-24 18:35:00,3342,3325,-17
666,Codeforces Round 349 (Div. 1),Petr,1,2016-04-29 18:35:00,3325,3392,67
679,Codeforces Round 356 (Div. 1),Petr,1,2016-06-08 18:35:00,3392,3465,73
685,Codeforces Round 359 (Div. 1),Petr,1,2016-06-23 18:35:00,3465,3524,59
698,Codeforces Round 363 (Div. 1),Petr,1,2016-07-19 15:20:00,3524,3597,73
