contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
462,Codeforces Round 263 (Div. 2),Radewoosh,236,2014-08-26 16:00:00,0,1733,1733
464,Codeforces Round 265 (Div. 1),Radewoosh,458,2014-09-07 17:30:00,1733,1753,20
472,Codeforces Round 270,Radewoosh,192,2014-09-28 18:05:00,1753,2036,283
475,Bayan 2015 Contest Warm Up,Radewoosh,1358,2014-10-05 16:00:00,2036,1915,-121
482,Codeforces Round 275 (Div. 1),Radewoosh,235,2014-10-24 19:10:00,1915,1979,64
487,Codeforces Round 278 (Div. 1),Radewoosh,144,2014-11-21 19:20:00,1979,2074,95
497,Codeforces Round 283 (Div. 1),Radewoosh,430,2014-12-17 18:30:00,2074,1996,-78
500,Good Bye 2014,Radewoosh,752,2014-12-30 17:30:00,1996,1912,-84
504,Codeforces Round 285 (Div. 1),Radewoosh,109,2015-01-12 11:00:00,1912,2034,122
512,Codeforces Round 290 (Div. 1),Radewoosh,236,2015-02-02 18:35:00,2034,2099,65
513,Rockethon 2015,Radewoosh,1109,2015-02-07 20:15:00,2099,2012,-87
516,Codeforces Round 292 (Div. 1),Radewoosh,162,2015-02-17 18:35:00,2012,2140,128
521,Codeforces Round 295 (Div. 1),Radewoosh,129,2015-03-02 09:05:00,2140,2168,28
528,Codeforces Round 296 (Div. 1),Radewoosh,266,2015-03-17 18:45:00,2168,2122,-46
526,ZeptoLab Code Rush 2015,Radewoosh,67,2015-04-04 19:05:00,2122,2275,153
547,Codeforces Round 305 (Div. 1),Radewoosh,190,2015-05-26 18:35:00,2275,2234,-41
549,Looksery Cup 2015,Radewoosh,232,2015-06-06 15:30:00,2234,2279,45
553,Codeforces Round 309 (Div. 1),Radewoosh,522,2015-06-24 18:40:00,2279,2174,-105
555,Codeforces Round 310 (Div. 1),Radewoosh,191,2015-06-27 16:10:00,2174,2214,40
559,Codeforces Round 313 (Div. 1),Radewoosh,416,2015-07-22 16:00:00,2214,2122,-92
566,"VK Cup 2015 - Finals, online mirror",Radewoosh,18,2015-07-30 19:20:00,2122,2235,113
568,Codeforces Round 315 (Div. 1),Radewoosh,79,2015-08-10 18:30:00,2235,2310,75
571,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Radewoosh,43,2015-08-22 18:30:00,2310,2404,94
573,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Radewoosh,55,2015-08-29 18:40:00,2404,2465,61
576,Codeforces Round 319 (Div. 1),Radewoosh,36,2015-09-10 18:40:00,2465,2511,46
578,Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],Radewoosh,259,2015-09-16 17:45:00,2511,2393,-118
585,Codeforces Round 325 (Div. 1),Radewoosh,46,2015-10-12 11:10:00,2393,2413,20
601,Codeforces Round 333 (Div. 1),Radewoosh,58,2015-11-24 18:35:00,2413,2431,18
603,Codeforces Round 334 (Div. 1),Radewoosh,249,2015-12-01 17:35:00,2431,2333,-98
605,Codeforces Round 335 (Div. 1),Radewoosh,74,2015-12-09 18:05:00,2333,2348,15
607,Codeforces Round 336 (Div. 1),Radewoosh,127,2015-12-23 18:35:00,2348,2332,-16
611,Good Bye 2015,Radewoosh,14,2015-12-30 18:05:00,2332,2492,160
613,Codeforces Round 339 (Div. 1),Radewoosh,157,2016-01-14 18:35:00,2492,2423,-69
618,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Radewoosh,16,2016-01-29 19:10:00,2423,2548,125
623,AIM Tech Round (Div. 1),Radewoosh,436,2016-02-04 19:05:00,2548,2378,-170
626,8VC Venture Cup 2016 - Elimination Round,Radewoosh,40,2016-02-13 20:05:00,2378,2472,94
633,"Manthan, Codefest 16",Radewoosh,183,2016-02-26 19:45:00,2472,2408,-64
627,8VC Venture Cup 2016 - Final Round,Radewoosh,71,2016-02-28 20:10:00,2408,2407,-1
650,Codeforces Round 345 (Div. 1),Radewoosh,77,2016-03-07 11:25:00,2407,2421,14
655,CROC 2016 - Elimination Round  (Rated Unofficial Edition),Radewoosh,6,2016-03-18 18:35:00,2421,2537,116
666,Codeforces Round 349 (Div. 1),Radewoosh,12,2016-04-29 18:35:00,2537,2631,94
671,Codeforces Round 352 (Div. 1),Radewoosh,27,2016-05-11 18:35:00,2631,2661,30
687,Codeforces Round 360 (Div. 1),Radewoosh,32,2016-06-29 19:05:00,2661,2672,11
696,Codeforces Round 362 (Div. 1),Radewoosh,27,2016-07-14 18:50:00,2672,2693,21
700,Codeforces Round 364 (Div. 1),Radewoosh,217,2016-07-22 18:35:00,2693,2542,-151
713,Codeforces Round 371 (Div. 1),Radewoosh,5,2016-09-13 18:35:00,2542,2716,174
715,Codeforces Round 372 (Div. 1),Radewoosh,25,2016-09-17 15:45:00,2716,2735,19
725,Canada Cup 2016,Radewoosh,104,2016-10-22 17:35:00,2735,2668,-67
739,Codeforces Round 381 (Div. 1),Radewoosh,5,2016-11-23 18:35:00,2668,2797,129
736,Codeforces Round 382 (Div. 1),Radewoosh,124,2016-11-27 18:35:00,2797,2683,-114
741,Codeforces Round 383 (Div. 1),Radewoosh,35,2016-12-06 16:35:00,2683,2681,-2
750,Good Bye 2016,Radewoosh,12,2016-12-30 16:45:00,2681,2789,108
757,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Radewoosh,124,2017-01-12 18:35:00,2789,2699,-90
755,8VC Venture Cup 2017 - Elimination Round,Radewoosh,28,2017-01-15 19:05:00,2699,2753,54
756,8VC Venture Cup 2017 - Final Round,Radewoosh,43,2017-01-22 20:15:00,2753,2716,-37
763,Codeforces Round 395 (Div. 1),Radewoosh,23,2017-02-02 15:35:00,2716,2751,35
765,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Radewoosh,2,2017-02-14 11:05:00,2751,2926,175
768,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Radewoosh,30,2017-02-20 18:45:00,2926,2896,-30
776,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Radewoosh,10,2017-02-23 16:55:00,2896,2943,47
778,Codeforces Round 402 (Div. 1),Radewoosh,20,2017-02-26 10:05:00,2943,2895,-48
781,"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",Radewoosh,33,2017-03-05 15:05:00,2895,2853,-42
790,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Radewoosh,22,2017-03-18 17:35:00,2853,2835,-18
788,Codeforces Round 407 (Div. 1),Radewoosh,6,2017-03-29 18:05:00,2835,2922,87
800,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",Radewoosh,9,2017-04-16 17:35:00,2922,2939,17
793,Tinkoff Challenge - Elimination Round,Radewoosh,5,2017-04-23 18:45:00,2939,3017,78
806,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",Radewoosh,69,2017-05-07 18:45:00,3017,2894,-123
799,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",Radewoosh,88,2017-05-11 17:35:00,2894,2806,-88
809,Codeforces Round 415 (Div. 1),Radewoosh,1,2017-05-20 20:05:00,2806,3015,209
815,Codeforces Round 419 (Div. 1),Radewoosh,1,2017-06-17 16:35:00,3015,3163,148
827,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",Radewoosh,4,2017-07-11 18:45:00,3163,3187,24
830,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Radewoosh,25,2017-07-13 17:05:00,3187,3094,-93
833,Codeforces Round 426 (Div. 1),Radewoosh,1,2017-07-30 16:35:00,3094,3246,152
840,Codeforces Round 429 (Div. 1),Radewoosh,3,2017-08-18 17:05:00,3246,3266,20
843,AIM Tech Round 4 (Div. 1),Radewoosh,29,2017-08-24 19:05:00,3266,3148,-118
850,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Radewoosh,22,2017-09-04 17:05:00,3148,3053,-95
853,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Radewoosh,58,2017-09-06 14:55:00,3053,2928,-125
875,"Codeforces Round 441 (Div. 1, by Moscow Team Olympiad)",Radewoosh,7,2017-10-16 13:05:00,2928,2956,28
878,Codeforces Round 443 (Div. 1),Radewoosh,20,2017-10-26 16:45:00,2956,2915,-41
891,Codeforces Round 446 (Div. 1),Radewoosh,2,2017-11-17 16:35:00,2915,3041,126
896,Codeforces Round 449 (Div. 1),Radewoosh,7,2017-12-02 16:20:00,3041,3039,-2
901,Codeforces Round 453 (Div. 1),Radewoosh,3,2017-12-19 17:35:00,3039,3085,46
906,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",Radewoosh,2,2017-12-23 16:05:00,3085,3175,90
908,Good Bye 2017,Radewoosh,4,2017-12-29 18:10:00,3175,3209,34
913,Hello 2018,Radewoosh,17,2018-01-08 17:15:00,3209,3150,-59
914,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Radewoosh,14,2018-01-20 18:35:00,3150,3104,-46
917,Codeforces Round 459 (Div. 1),Radewoosh,7,2018-01-29 16:35:00,3104,3084,-20
932,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Radewoosh,1,2018-02-15 16:35:00,3084,3216,132
936,Codeforces Round 467 (Div. 1),Radewoosh,5,2018-02-25 18:05:00,3216,3218,2
947,"Codeforces Round 470 (rated, Div. 1, based on VK Cup 2018 Round 1)",Radewoosh,45,2018-03-10 17:35:00,3218,3076,-142
956,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",Radewoosh,2,2018-03-24 17:50:00,3076,3158,82
963,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),Radewoosh,3,2018-04-17 16:05:00,3158,3197,39
983,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",Radewoosh,28,2018-05-15 16:45:00,3197,3088,-109
981,Avito Code Challenge 2018,Radewoosh,3,2018-05-27 17:50:00,3088,3159,71
986,Codeforces Round 485 (Div. 1),Radewoosh,3,2018-05-29 17:45:00,3159,3217,58
993,Codeforces Round 488 by NEAR (Div. 1),Radewoosh,25,2018-06-16 19:05:00,3217,3098,-119
995,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",Radewoosh,8,2018-06-24 18:35:00,3098,3101,3
997,Codeforces Round 493 (Div. 1),Radewoosh,16,2018-07-01 16:05:00,3101,3065,-36
1007,Codeforces Round 497 (Div. 1),Radewoosh,35,2018-07-13 16:45:00,3065,2974,-91
1010,Codeforces Round 499 (Div. 1),Radewoosh,11,2018-07-26 17:05:00,2974,2984,10
1019,"Codeforces Round 503 (by SIS, Div. 1)",Radewoosh,2,2018-08-11 15:35:00,2984,3098,114
1023,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Radewoosh,15,2018-08-17 16:50:00,3098,3061,-37
1025,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Radewoosh,59,2018-08-19 15:50:00,3061,2953,-108
1028,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Radewoosh,40,2018-08-27 18:50:00,2953,2899,-54
1060,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Radewoosh,10,2018-10-04 09:35:00,2899,2931,32
1063,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Radewoosh,8,2018-10-14 12:05:00,2931,2953,22
1071,"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",Radewoosh,1,2018-10-21 10:10:00,2953,3128,175
1067,"Codeforces Round 518 (Div. 1) [Thanks, Mail.Ru!]",Radewoosh,1,2018-10-24 18:35:00,3128,3239,111
1043,Codeforces Round 519 by Botan Investments,Radewoosh,16,2018-10-28 17:35:00,3239,3189,-50
1074,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 1),Radewoosh,1,2018-11-04 20:40:00,3189,3296,107
1055,Mail.Ru Cup 2018 Round 2,Radewoosh,13,2018-11-10 17:05:00,3296,3230,-66
1056,Mail.Ru Cup 2018 Round 3,Radewoosh,1,2018-11-25 19:05:00,3230,3353,123
