contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
1105,Codeforces Round 533 (Div. 2),jiangly,190,2019-01-20 14:05:00,0,1683,1683
1138,Codeforces Round 545 (Div. 2),jiangly,370,2019-03-08 11:35:00,1683,1721,38
1155,Educational Codeforces Round 63 (Rated for Div. 2),jiangly,510,2019-04-22 16:35:00,1721,1762,41
1150,Codeforces Round 556 (Div. 2),jiangly,1,2019-04-29 16:35:00,1762,2085,323
1158,Codeforces Round 559 (Div. 1),jiangly,240,2019-05-12 16:35:00,2085,2076,-9
1167,Educational Codeforces Round 65 (Rated for Div. 2),jiangly,177,2019-05-15 16:35:00,2076,2083,7
1172,Codeforces Round 564 (Div. 1),jiangly,170,2019-06-07 14:05:00,2083,2141,58
1179,Codeforces Round 569 (Div. 1),jiangly,75,2019-06-21 19:05:00,2141,2243,102
1188,Codeforces Round 572 (Div. 1),jiangly,37,2019-07-05 17:05:00,2243,2379,136
1190,Codeforces Round 573 (Div. 1),jiangly,93,2019-07-12 16:35:00,2379,2409,30
1198,Codeforces Round 576 (Div. 1),jiangly,208,2019-07-30 16:35:00,2409,2371,-38
1205,Codeforces Round 580 (Div. 1),jiangly,39,2019-08-18 15:55:00,2371,2472,101
1208,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",jiangly,32,2019-08-25 16:40:00,2472,2568,96
1214,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",jiangly,70,2019-09-04 11:35:00,2568,2571,3
1209,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",jiangly,108,2019-09-14 15:35:00,2571,2572,1
1220,Codeforces Round 586 (Div. 1 + Div. 2),jiangly,518,2019-09-18 18:05:00,2572,2446,-126
1229,Codeforces Round 588 (Div. 1),jiangly,131,2019-09-23 16:35:00,2446,2444,-2
1237,Codeforces Global Round 5,jiangly,37,2019-10-16 17:05:00,2444,2566,122
1239,Codeforces Round 594 (Div. 1),jiangly,285,2019-10-20 11:05:00,2566,2461,-105
1246,"Codeforces Round 596 (Div. 1, based on Technocup 2020 Elimination Round 2)",jiangly,72,2019-10-26 13:05:00,2461,2488,27
1242,Codeforces Round 599 (Div. 1),jiangly,43,2019-11-06 17:05:00,2488,2572,84
1254,Codeforces Round 601 (Div. 1),jiangly,34,2019-11-19 16:35:00,2572,2636,64
1261,"Codeforces Round 602 (Div. 1, based on Technocup 2020 Elimination Round 3)",jiangly,16,2019-11-24 10:05:00,2636,2724,88
1264,Codeforces Round 604 (Div. 1),jiangly,10,2019-12-05 16:35:00,2724,2828,104
1276,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",jiangly,26,2019-12-14 13:05:00,2828,2839,11
1280,Codeforces Round 607 (Div. 1),jiangly,17,2019-12-15 07:05:00,2839,2846,7
1266,Codeforces Global Round 6,jiangly,43,2019-12-17 17:35:00,2846,2846,0
1268,Codeforces Round 609 (Div. 1),jiangly,38,2019-12-21 13:05:00,2846,2827,-19
1270,Good Bye 2019,jiangly,80,2019-12-29 17:05:00,2827,2801,-26
1284,Hello 2020,jiangly,84,2020-01-04 14:35:00,2801,2783,-18
1286,Codeforces Round 612 (Div. 1),jiangly,7,2020-01-05 16:05:00,2783,2911,128
1292,Codeforces Round 614 (Div. 1),jiangly,5,2020-01-19 15:35:00,2911,3017,106
1290,Codeforces Round 616 (Div. 1),jiangly,9,2020-02-02 16:35:00,3017,3066,49
1299,Codeforces Round 618 (Div. 1),jiangly,16,2020-02-09 16:05:00,3066,3073,7
1307,Codeforces Round 621 (Div. 1 + Div. 2),jiangly,234,2020-02-17 17:50:00,3073,2907,-166
1314,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",jiangly,20,2020-02-23 18:35:00,2907,2901,-6
1320,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",jiangly,26,2020-03-01 15:15:00,2901,2920,19
1305,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",jiangly,180,2020-03-03 16:50:00,2920,2823,-97
1322,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",jiangly,8,2020-03-07 11:35:00,2823,2921,98
1326,Codeforces Global Round 7,jiangly,4,2020-03-19 17:05:00,2921,3078,157
1329,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",jiangly,10,2020-04-03 16:35:00,3078,3129,51
1338,Codeforces Round 633 (Div. 1),jiangly,9,2020-04-12 16:05:00,3129,3160,31
1336,Codeforces Round 635 (Div. 1),jiangly,22,2020-04-15 17:05:00,3160,3139,-21
1349,Codeforces Round 641 (Div. 1),jiangly,352,2020-05-12 15:05:00,3139,2946,-193
1361,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",jiangly,58,2020-06-04 17:05:00,2946,2906,-40
1368,Codeforces Global Round 8,jiangly,138,2020-06-18 17:15:00,2906,2839,-67
1375,Codeforces Global Round 9,jiangly,31,2020-07-04 17:15:00,2839,2889,50
1381,Codeforces Round 658 (Div. 1),jiangly,34,2020-07-21 16:35:00,2889,2896,7
1383,Codeforces Round 659 (Div. 1),jiangly,5,2020-07-24 16:35:00,2896,3027,131
1394,Codeforces Round 664 (Div. 1),jiangly,13,2020-08-12 16:35:00,3027,3067,40
1396,Codeforces Round 666 (Div. 1),jiangly,24,2020-08-30 16:35:00,3067,3065,-2
1404,Codeforces Round 668 (Div. 1),jiangly,14,2020-09-06 16:35:00,3065,3091,26
1416,Codeforces Round 673 (Div. 1),jiangly,20,2020-09-27 17:05:00,3091,3075,-16
1408,Grakn Forces 2020,jiangly,11,2020-09-30 17:20:00,3075,3126,51
1427,Codeforces Global Round 11,jiangly,15,2020-10-10 17:50:00,3126,3158,32
1434,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",jiangly,73,2020-10-25 13:05:00,3158,3051,-107
1444,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",jiangly,5,2020-11-01 13:05:00,3051,3132,81
1442,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",jiangly,9,2020-11-02 16:35:00,3132,3151,19
1446,"Codeforces Round 683 (Div. 1, by Meet IT)",jiangly,33,2020-11-15 17:05:00,3151,3102,-49
1439,Codeforces Round 684 (Div. 1),jiangly,5,2020-11-17 16:50:00,3102,3186,84
1456,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",jiangly,10,2020-11-29 09:05:00,3186,3184,-2
1450,Codeforces Global Round 12,jiangly,3,2020-12-06 17:35:00,3184,3307,123
1458,Codeforces Round 691 (Div. 1),jiangly,7,2020-12-19 11:35:00,3307,3316,9
1464,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",jiangly,2,2020-12-20 17:05:00,3316,3444,128
1466,Good Bye 2020,jiangly,78,2020-12-30 17:35:00,3444,3290,-154
1470,Codeforces Round 694 (Div. 1),jiangly,3,2021-01-05 16:35:00,3290,3375,85
1477,Codeforces Round 698 (Div. 1),jiangly,16,2021-01-28 16:50:00,3375,3328,-47
