contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
96,Codeforces Beta Round 77 (Div. 2 Only),jqdai0815,287,2011-07-08 17:00:00,0,1526,1526
104,Codeforces Beta Round 80 (Div. 2 Only),jqdai0815,34,2011-08-07 13:00:00,1526,1648,122
108,Codeforces Beta Round 83 (Div. 2 Only),jqdai0815,53,2011-08-23 17:00:00,1648,1677,29
192,Codeforces Round 121 (Div. 2),jqdai0815,8,2012-05-27 17:30:00,1677,1748,71
217,Codeforces Round 134 (Div. 1),jqdai0815,43,2012-08-18 09:05:00,1748,1873,125
235,Codeforces Round 146 (Div. 1),jqdai0815,133,2012-10-21 09:10:00,1873,1906,33
258,Codeforces Round 157 (Div. 1),jqdai0815,266,2012-12-22 17:30:00,1906,1863,-43
372,Codeforces Round 219 (Div. 1),jqdai0815,1,2013-12-13 16:00:00,1863,2117,254
379,Good Bye 2013,jqdai0815,42,2013-12-30 17:30:00,2117,2242,125
480,Codeforces Round 274 (Div. 1),jqdai0815,49,2014-10-19 11:00:00,2242,2302,60
500,Good Bye 2014,jqdai0815,20,2014-12-30 17:30:00,2302,2429,127
504,Codeforces Round 285 (Div. 1),jqdai0815,5,2015-01-12 11:00:00,2429,2510,81
506,Codeforces Round 286 (Div. 1),jqdai0815,18,2015-01-18 15:00:00,2510,2564,54
512,Codeforces Round 290 (Div. 1),jqdai0815,4,2015-02-02 18:35:00,2564,2643,79
521,Codeforces Round 295 (Div. 1),jqdai0815,11,2015-03-02 09:05:00,2643,2667,24
528,Codeforces Round 296 (Div. 1),jqdai0815,25,2015-03-17 18:45:00,2667,2665,-2
526,ZeptoLab Code Rush 2015,jqdai0815,10,2015-04-04 19:05:00,2665,2705,40
533,"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",jqdai0815,16,2015-04-17 18:30:00,2705,2688,-17
538,Codeforces Round 300,jqdai0815,6,2015-04-26 18:30:00,2688,2723,35
547,Codeforces Round 305 (Div. 1),jqdai0815,3,2015-05-26 18:35:00,2723,2783,60
549,Looksery Cup 2015,jqdai0815,5,2015-06-06 15:30:00,2783,2817,34
553,Codeforces Round 309 (Div. 1),jqdai0815,10,2015-06-24 18:40:00,2817,2820,3
555,Codeforces Round 310 (Div. 1),jqdai0815,11,2015-06-27 16:10:00,2820,2825,5
559,Codeforces Round 313 (Div. 1),jqdai0815,1,2015-07-22 16:00:00,2825,2923,98
566,"VK Cup 2015 - Finals, online mirror",jqdai0815,6,2015-07-30 19:20:00,2923,2903,-20
568,Codeforces Round 315 (Div. 1),jqdai0815,35,2015-08-10 18:30:00,2903,2826,-77
601,Codeforces Round 333 (Div. 1),jqdai0815,1,2015-11-24 18:35:00,2826,2974,148
603,Codeforces Round 334 (Div. 1),jqdai0815,6,2015-12-01 17:35:00,2974,2994,20
605,Codeforces Round 335 (Div. 1),jqdai0815,1,2015-12-09 18:05:00,2994,3098,104
607,Codeforces Round 336 (Div. 1),jqdai0815,4,2015-12-23 18:35:00,3098,3122,24
611,Good Bye 2015,jqdai0815,52,2015-12-30 18:05:00,3122,3000,-122
623,AIM Tech Round (Div. 1),jqdai0815,5,2016-02-04 19:05:00,3000,3040,40
626,8VC Venture Cup 2016 - Elimination Round,jqdai0815,2,2016-02-13 20:05:00,3040,3148,108
633,"Manthan, Codefest 16",jqdai0815,3,2016-02-26 19:45:00,3148,3183,35
650,Codeforces Round 345 (Div. 1),jqdai0815,2,2016-03-07 11:25:00,3183,3250,67
655,CROC 2016 - Elimination Round  (Rated Unofficial Edition),jqdai0815,1,2016-03-18 18:35:00,3250,3312,62
653,IndiaHacks 2016 - Online Edition (Div. 1 + Div. 2),jqdai0815,1,2016-03-19 10:35:00,3312,3378,66
668,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",jqdai0815,2,2016-04-24 18:35:00,3378,3386,8
671,Codeforces Round 352 (Div. 1),jqdai0815,19,2016-05-11 18:35:00,3386,3240,-146
687,Codeforces Round 360 (Div. 1),jqdai0815,1,2016-06-29 19:05:00,3240,3365,125
696,Codeforces Round 362 (Div. 1),jqdai0815,1,2016-07-14 18:50:00,3365,3441,76
698,Codeforces Round 363 (Div. 1),jqdai0815,3,2016-07-19 15:20:00,3441,3416,-25
708,AIM Tech Round 3 (Div. 1),jqdai0815,10,2016-08-24 18:35:00,3416,3317,-99
713,Codeforces Round 371 (Div. 1),jqdai0815,27,2016-09-13 18:35:00,3317,3183,-134
715,Codeforces Round 372 (Div. 1),jqdai0815,1,2016-09-17 15:45:00,3183,3285,102
724,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",jqdai0815,1,2016-10-08 15:15:00,3285,3367,82
725,Canada Cup 2016,jqdai0815,35,2016-10-22 17:35:00,3367,3211,-156
739,Codeforces Round 381 (Div. 1),jqdai0815,1,2016-11-23 18:35:00,3211,3333,122
736,Codeforces Round 382 (Div. 1),jqdai0815,10,2016-11-27 18:35:00,3333,3226,-107
741,Codeforces Round 383 (Div. 1),jqdai0815,1,2016-12-06 16:35:00,3226,3320,94
744,Codeforces Round 385 (Div. 1),jqdai0815,7,2016-12-17 18:35:00,3320,3267,-53
757,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",jqdai0815,19,2017-01-12 18:35:00,3267,3171,-96
755,8VC Venture Cup 2017 - Elimination Round,jqdai0815,2,2017-01-15 19:05:00,3171,3282,111
763,Codeforces Round 395 (Div. 1),jqdai0815,1,2017-02-02 15:35:00,3282,3379,97
768,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",jqdai0815,10,2017-02-20 18:45:00,3379,3300,-79
776,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",jqdai0815,8,2017-02-23 16:55:00,3300,3257,-43
778,Codeforces Round 402 (Div. 1),jqdai0815,5,2017-02-26 10:05:00,3257,3202,-55
781,"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",jqdai0815,3,2017-03-05 15:05:00,3202,3242,40
790,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",jqdai0815,13,2017-03-18 17:35:00,3242,3157,-85
786,Codeforces Round 406 (Div. 1),jqdai0815,1,2017-03-23 17:05:00,3157,3272,115
788,Codeforces Round 407 (Div. 1),jqdai0815,3,2017-03-29 18:05:00,3272,3286,14
800,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",jqdai0815,2,2017-04-16 17:35:00,3286,3307,21
793,Tinkoff Challenge - Elimination Round,jqdai0815,24,2017-04-23 18:45:00,3307,3196,-111
804,Codeforces Round 411 (Div. 1),jqdai0815,11,2017-05-04 16:50:00,3196,3149,-47
806,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",jqdai0815,18,2017-05-07 18:45:00,3149,3085,-64
794,"Tinkoff Challenge - Final Round (Codeforces Round 414, rated, Div. 1 + Div. 2)",jqdai0815,16,2017-05-13 11:35:00,3085,3051,-34
827,"Codeforces Round 423 (Div. 1, rated, based on VK Cup Finals)",jqdai0815,2,2017-07-11 18:45:00,3051,3152,101
830,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",jqdai0815,2,2017-07-13 17:05:00,3152,3240,88
833,Codeforces Round 426 (Div. 1),jqdai0815,28,2017-07-30 16:35:00,3240,3122,-118
843,AIM Tech Round 4 (Div. 1),jqdai0815,6,2017-08-24 19:05:00,3122,3152,30
848,Codeforces Round 431 (Div. 1),jqdai0815,6,2017-09-01 15:35:00,3152,3146,-6
859,MemSQL Start[c]UP 3.0 - Round 1,jqdai0815,1,2017-09-16 20:05:00,3146,3288,142
855,"Manthan, Codefest 17",jqdai0815,2,2017-09-24 17:05:00,3288,3333,45
866,MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),jqdai0815,6,2017-09-30 20:05:00,3333,3291,-42
868,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),jqdai0815,2,2017-10-05 10:05:00,3291,3318,27
875,"Codeforces Round 441 (Div. 1, by Moscow Team Olympiad)",jqdai0815,28,2017-10-16 13:05:00,3318,3158,-160
878,Codeforces Round 443 (Div. 1),jqdai0815,3,2017-10-26 16:45:00,3158,3181,23
891,Codeforces Round 446 (Div. 1),jqdai0815,1,2017-11-17 16:35:00,3181,3288,107
906,"Codeforces Round 454 (Div. 1, based on Technocup 2018 Elimination Round 4)",jqdai0815,1,2017-12-23 16:05:00,3288,3381,93
908,Good Bye 2017,jqdai0815,8,2017-12-29 18:10:00,3381,3319,-62
913,Hello 2018,jqdai0815,30,2018-01-08 17:15:00,3319,3199,-120
917,Codeforces Round 459 (Div. 1),jqdai0815,1,2018-01-29 16:35:00,3199,3294,95
933,Codeforces Round 462 (Div. 1),jqdai0815,16,2018-02-14 14:05:00,3294,3188,-106
930,"Codeforces Round 468 (Div. 1, based on Technocup 2018 Final Round)",jqdai0815,23,2018-03-04 17:35:00,3188,3083,-105
956,"Codeforces Round 472 (rated, Div. 1, based on VK Cup 2018 Round 2)",jqdai0815,5,2018-03-24 17:50:00,3083,3102,19
960,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",jqdai0815,1,2018-04-07 18:35:00,3102,3242,140
963,Tinkoff Internship Warmup Round 2018 and Codeforces Round 475 (Div. 1),jqdai0815,2,2018-04-17 16:05:00,3242,3289,47
966,"Codeforces Round 477 (rated, Div. 1, based on VK Cup 2018 Round 3)",jqdai0815,12,2018-04-29 15:45:00,3289,3201,-88
983,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",jqdai0815,8,2018-05-15 16:45:00,3201,3181,-20
981,Avito Code Challenge 2018,jqdai0815,2,2018-05-27 17:50:00,3181,3253,72
986,Codeforces Round 485 (Div. 1),jqdai0815,2,2018-05-29 17:45:00,3253,3314,61
995,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",jqdai0815,1,2018-06-24 18:35:00,3314,3419,105
997,Codeforces Round 493 (Div. 1),jqdai0815,22,2018-07-01 16:05:00,3419,3280,-139
1028,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",jqdai0815,2,2018-08-27 18:50:00,3280,3327,47
1054,Mail.Ru Cup 2018 Round 1,jqdai0815,9,2018-10-18 19:05:00,3327,3264,-63
1110,Codeforces Global Round 1,jqdai0815,6,2019-02-07 15:35:00,3264,3293,29
1109,Codeforces Round 539 (Div. 1),jqdai0815,2,2019-02-16 19:05:00,3293,3329,36
1208,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",jqdai0815,3,2019-08-25 16:40:00,3329,3372,43
1214,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",jqdai0815,1,2019-09-04 11:35:00,3372,3463,91
1209,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",jqdai0815,2,2019-09-14 15:35:00,3463,3512,49
1220,Codeforces Round 586 (Div. 1 + Div. 2),jqdai0815,62,2019-09-18 18:05:00,3512,3286,-226
1229,Codeforces Round 588 (Div. 1),jqdai0815,4,2019-09-23 16:35:00,3286,3309,23
1237,Codeforces Global Round 5,jqdai0815,13,2019-10-16 17:05:00,3309,3276,-33
1239,Codeforces Round 594 (Div. 1),jqdai0815,5,2019-10-20 11:05:00,3276,3258,-18
