contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
750,Good Bye 2016,maroonrk,540,2016-12-30 16:45:00,0,1677,1677
948,"Codeforces Round 470 (rated, Div. 2, based on VK Cup 2018 Round 1)",maroonrk,8,2018-03-10 17:35:00,1677,1909,232
966,"Codeforces Round 477 (rated, Div. 1, based on VK Cup 2018 Round 3)",maroonrk,30,2018-04-29 15:45:00,1909,2144,235
983,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",maroonrk,44,2018-05-15 16:45:00,2144,2279,135
981,Avito Code Challenge 2018,maroonrk,29,2018-05-27 17:50:00,2279,2414,135
1007,Codeforces Round 497 (Div. 1),maroonrk,13,2018-07-13 16:45:00,2414,2558,144
1054,Mail.Ru Cup 2018 Round 1,maroonrk,25,2018-10-18 19:05:00,2558,2625,67
1086,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",maroonrk,23,2018-12-23 15:35:00,2625,2681,56
1091,Good Bye 2018,maroonrk,20,2018-12-30 17:15:00,2681,2781,100
1097,Hello 2019,maroonrk,25,2019-01-04 17:45:00,2781,2830,49
1110,Codeforces Global Round 1,maroonrk,31,2019-02-07 15:35:00,2830,2861,31
1137,Codeforces Round 545 (Div. 1),maroonrk,7,2019-03-08 11:35:00,2861,2924,63
1146,Forethought Future Cup - Elimination Round,maroonrk,13,2019-04-20 20:35:00,2924,2956,32
1149,Codeforces Round 556 (Div. 1),maroonrk,3,2019-04-29 16:35:00,2956,3082,126
1161,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],maroonrk,10,2019-05-04 19:05:00,3082,3079,-3
1158,Codeforces Round 559 (Div. 1),maroonrk,19,2019-05-12 16:35:00,3079,3032,-47
1168,Codeforces Round 562 (Div. 1),maroonrk,4,2019-05-26 17:35:00,3032,3109,77
1148,Codeforces Global Round 3,maroonrk,40,2019-06-01 16:50:00,3109,3039,-70
1172,Codeforces Round 564 (Div. 1),maroonrk,2,2019-06-07 14:05:00,3039,3118,79
1188,Codeforces Round 572 (Div. 1),maroonrk,49,2019-07-05 17:05:00,3118,3008,-110
1190,Codeforces Round 573 (Div. 1),maroonrk,35,2019-07-12 16:35:00,3008,2949,-59
1178,Codeforces Global Round 4,maroonrk,7,2019-07-20 18:05:00,2949,3020,71
1198,Codeforces Round 576 (Div. 1),maroonrk,23,2019-07-30 16:35:00,3020,2987,-33
1205,Codeforces Round 580 (Div. 1),maroonrk,72,2019-08-18 15:55:00,2987,2889,-98
1214,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",maroonrk,25,2019-09-04 11:35:00,2889,2876,-13
1209,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",maroonrk,8,2019-09-14 15:35:00,2876,2965,89
1229,Codeforces Round 588 (Div. 1),maroonrk,56,2019-09-23 16:35:00,2965,2896,-69
