contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
1316,CodeCraft-20 (Div. 2),orzdevinwang,6247,2020-03-04 16:35:00,0,1387,1387
1325,Codeforces Round 628 (Div. 2),orzdevinwang,4982,2020-03-14 16:35:00,1387,1367,-20
1330,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",orzdevinwang,6326,2020-04-03 16:35:00,1367,1344,-23
1334,Educational Codeforces Round 85 (Rated for Div. 2),orzdevinwang,5409,2020-04-10 16:35:00,1344,1377,33
1352,Codeforces Round 640 (Div. 4),orzdevinwang,3428,2020-05-09 16:35:00,1377,1379,2
1385,Codeforces Round 656 (Div. 3),orzdevinwang,407,2020-07-17 16:50:00,1379,1516,137
1379,Codeforces Round 657 (Div. 2),orzdevinwang,680,2020-07-19 11:00:00,1516,1663,147
1389,Educational Codeforces Round 92 (Rated for Div. 2),orzdevinwang,1089,2020-07-29 16:35:00,1663,1730,67
1393,Codeforces Round 662 (Div. 2),orzdevinwang,262,2020-08-07 16:35:00,1730,1860,130
1395,Codeforces Round 664 (Div. 2),orzdevinwang,8,2020-08-12 16:35:00,1860,2090,230
1406,Codeforces Round 670 (Div. 2),orzdevinwang,411,2020-09-12 15:45:00,2090,2087,-3
1419,Codeforces Round 671 (Div. 2),orzdevinwang,1980,2020-09-19 16:35:00,2087,1987,-100
1408,Grakn Forces 2020,orzdevinwang,1079,2020-09-30 17:20:00,1987,1988,1
1428,Codeforces Raif Round 1 (Div. 1 + Div. 2),orzdevinwang,337,2020-10-17 15:35:00,1988,2094,106
1421,Codeforces Round 676 (Div. 2),orzdevinwang,205,2020-10-18 11:05:00,2094,2110,16
1434,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",orzdevinwang,546,2020-10-25 13:05:00,2110,2075,-35
1444,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",orzdevinwang,559,2020-11-01 13:05:00,2075,2063,-12
1451,Codeforces Round 685 (Div. 2),orzdevinwang,80,2020-11-21 16:50:00,2063,2148,85
1456,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",orzdevinwang,227,2020-11-29 09:05:00,2148,2208,60
1458,Codeforces Round 691 (Div. 1),orzdevinwang,249,2020-12-19 11:35:00,2208,2233,25
1466,Good Bye 2020,orzdevinwang,585,2020-12-30 17:35:00,2233,2245,12
1470,Codeforces Round 694 (Div. 1),orzdevinwang,959,2021-01-05 16:35:00,2245,2133,-112
1477,Codeforces Round 698 (Div. 1),orzdevinwang,286,2021-01-28 16:50:00,2133,2174,41
1479,Codeforces Round 700 (Div. 1),orzdevinwang,207,2021-02-07 16:50:00,2174,2261,87
1491,Codeforces Global Round 13,orzdevinwang,112,2021-02-28 16:35:00,2261,2386,125
1500,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",orzdevinwang,180,2021-03-13 11:35:00,2386,2394,8
1483,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",orzdevinwang,52,2021-03-21 15:35:00,2394,2510,116
