contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating,delta
2,Codeforces Beta Round 2,tourist,14,2010-02-25 19:00:00,0,1602,1602
8,Codeforces Beta Round 8,tourist,5,2010-04-08 17:45:00,1602,1764,162
10,Codeforces Beta Round 10,tourist,18,2010-04-15 17:45:00,1764,1878,114
13,Codeforces Beta Round 13,tourist,11,2010-05-06 16:00:00,1878,1967,89
19,Codeforces Beta Round 19,tourist,2,2010-06-24 17:00:00,1967,2063,96
23,Codeforces Beta Round 23,tourist,15,2010-07-09 17:00:00,2063,2081,18
24,Codeforces Beta Round 24,tourist,20,2010-07-26 15:00:00,2081,2098,17
28,Codeforces Beta Round 28 (Codeforces format),tourist,11,2010-09-17 17:00:00,2098,2128,30
33,Codeforces Beta Round 33 (Codeforces format),tourist,1,2010-10-07 17:00:00,2128,2203,75
37,Codeforces Beta Round 37,tourist,3,2010-10-25 17:00:00,2203,2256,53
38,School Personal Contest #1 (Winter Computer School 2010/11) - Codeforces Beta Round 38 (ACM-ICPC Rules),tourist,1,2010-10-30 16:00:00,2256,2270,14
40,Codeforces Beta Round 39,tourist,1,2010-11-05 18:00:00,2270,2311,41
42,Codeforces Beta Round 41,tourist,1,2010-11-18 18:00:00,2311,2341,30
46,School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round 43 (ACM-ICPC Rules),tourist,2,2010-12-05 11:00:00,2341,2351,10
51,Codeforces Beta Round 48,tourist,1,2010-12-28 18:30:00,2351,2388,37
57,Codeforces Beta Round 53,tourist,1,2011-01-25 18:00:00,2388,2419,31
60,Codeforces Beta Round 56,tourist,1,2011-02-19 18:00:00,2419,2438,19
62,Codeforces Beta Round 58,tourist,1,2011-02-25 18:00:00,2438,2455,17
67,Manthan 2011,tourist,1,2011-03-13 19:30:00,2455,2491,36
73,Codeforces Beta Round 66,tourist,3,2011-04-10 10:30:00,2491,2494,3
74,Codeforces Beta Round 68,tourist,1,2011-04-15 17:00:00,2494,2517,23
77,Codeforces Beta Round 69 (Div. 1 Only),tourist,11,2011-04-19 17:15:00,2517,2501,-16
82,Yandex.Algorithm 2011: Qualification 2,tourist,1,2011-05-06 17:00:00,2501,2514,13
83,Codeforces Beta Round 72 (Div. 1 Only),tourist,1,2011-05-13 17:10:00,2514,2547,33
85,Yandex.Algorithm 2011: Round 1,tourist,1,2011-05-20 17:00:00,2547,2586,39
86,Yandex.Algorithm 2011: Round 2,tourist,2,2011-05-22 17:10:00,2586,2624,38
87,Codeforces Beta Round 73 (Div. 1 Only),tourist,4,2011-06-07 17:00:00,2624,2632,8
89,Codeforces Beta Round 74 (Div. 1 Only),tourist,2,2011-06-16 17:00:00,2632,2646,14
97,Yandex.Algorithm 2011: Finals,tourist,7,2011-07-15 14:00:00,2646,2610,-36
101,Codeforces Beta Round 79 (Div. 1 Only),tourist,4,2011-08-03 19:00:00,2610,2609,-1
105,Codeforces Beta Round 81,tourist,5,2011-08-13 17:00:00,2609,2604,-5
107,Codeforces Beta Round 83 (Div. 1 Only),tourist,2,2011-08-23 17:00:00,2604,2613,9
109,Codeforces Beta Round 84 (Div. 1 Only),tourist,7,2011-08-29 18:00:00,2613,2601,-12
111,Codeforces Beta Round 85 (Div. 1 Only),tourist,22,2011-09-03 14:00:00,2601,2549,-52
113,Codeforces Beta Round 86 (Div. 1 Only),tourist,4,2011-09-08 17:00:00,2549,2560,11
115,Codeforces Beta Round 87 (Div. 1 Only),tourist,1,2011-09-15 17:00:00,2560,2595,35
117,Codeforces Beta Round 88,tourist,3,2011-09-23 17:00:00,2595,2612,17
120,"School Regional Team Contest, Saratov, 2011",tourist,1,2011-10-18 11:30:00,2612,2635,23
121,Codeforces Beta Round 91 (Div. 1 Only),tourist,1,2011-10-27 17:00:00,2635,2661,26
123,Codeforces Beta Round 92 (Div. 1 Only),tourist,1,2011-11-03 17:10:00,2661,2683,22
126,Codeforces Beta Round 93 (Div. 1 Only),tourist,2,2011-11-09 19:00:00,2683,2693,10
128,Codeforces Beta Round 94 (Div. 1 Only),tourist,5,2011-11-15 08:10:00,2693,2670,-23
140,Codeforces Round 100,tourist,3,2012-01-04 17:00:00,2670,2704,34
142,Codeforces Round 102 (Div. 1),tourist,1,2012-01-12 17:05:00,2704,2762,58
145,Codeforces Round 104 (Div. 1),tourist,1,2012-01-22 09:00:00,2762,2809,47
150,Codeforces Round 107 (Div. 1),tourist,10,2012-02-17 17:00:00,2809,2783,-26
154,Codeforces Round 109 (Div. 1),tourist,1,2012-02-24 17:00:00,2783,2831,48
156,Codeforces Round 110 (Div. 1),tourist,1,2012-02-29 19:30:00,2831,2877,46
161,VK Cup 2012 Round 1,tourist,3,2012-03-11 17:05:00,2877,2883,6
163,VK Cup 2012 Round 2,tourist,1,2012-03-25 17:05:00,2883,2907,24
167,Codeforces Round 114 (Div. 1),tourist,2,2012-03-27 17:00:00,2907,2906,-1
173,Croc Champ 2012 - Round 1,tourist,1,2012-04-06 17:00:00,2906,2919,13
164,VK Cup 2012 Round 3,tourist,8,2012-04-08 17:05:00,2919,2877,-42
175,Codeforces Round 115,tourist,1,2012-04-14 11:00:00,2877,2887,10
193,Codeforces Round 122 (Div. 1),tourist,2,2012-06-03 17:30:00,2887,2902,15
196,Codeforces Round 124 (Div. 1),tourist,1,2012-06-12 15:00:00,2902,2938,36
198,Codeforces Round 125 (Div. 1),tourist,2,2012-06-22 17:30:00,2938,2964,26
204,Codeforces Round 129 (Div. 1),tourist,1,2012-07-11 17:30:00,2964,3022,58
211,VK Cup 2012 Finals,tourist,3,2012-07-15 09:30:00,3022,3010,-12
213,Codeforces Round 131 (Div. 1),tourist,3,2012-07-30 17:30:00,3010,2998,-12
217,Codeforces Round 134 (Div. 1),tourist,4,2012-08-18 09:05:00,2998,2973,-25
223,Codeforces Round 138 (Div. 1),tourist,2,2012-09-16 17:30:00,2973,2991,18
232,Codeforces Round 144 (Div. 1),tourist,1,2012-10-11 17:30:00,2991,3042,51
240,"Codeforces Round 145 (Div. 1, ACM-ICPC Rules)",tourist,3,2012-10-16 09:00:00,3042,3022,-20
235,Codeforces Round 146 (Div. 1),tourist,6,2012-10-21 09:10:00,3022,2977,-45
241,"Bayan 2012-2013 Elimination Round (ACM ICPC Rules, English statements)",tourist,1,2012-11-01 18:30:00,2977,3034,57
238,Codeforces Round 148 (Div. 1),tourist,1,2012-11-04 18:00:00,3034,3082,48
243,Codeforces Round 150 (Div. 1),tourist,11,2012-11-16 17:40:00,3082,3016,-66
251,Codeforces Round 153 (Div. 1),tourist,2,2012-12-06 17:30:00,3016,3030,14
269,Codeforces Round 165 (Div. 1),tourist,3,2013-02-01 17:30:00,3030,3026,-4
273,Codeforces Round 167 (Div. 1),tourist,2,2013-02-13 17:30:00,3026,3039,13
280,Codeforces Round 172 (Div. 1),tourist,7,2013-03-10 17:30:00,3039,2990,-49
292,Croc Champ 2013 - Round 1,tourist,1,2013-04-15 17:35:00,2990,3051,61
297,Codeforces Round 180 (Div. 1),tourist,1,2013-04-19 17:30:00,3051,3103,52
293,Croc Champ 2013 - Round 2,tourist,1,2013-04-22 17:45:00,3103,3157,54
308,Croc Champ 2013 - Finals,tourist,1,2013-05-17 12:30:00,3157,3188,31
316,ABBYY Cup 3.0,tourist,2,2013-06-12 17:00:00,3188,3195,7
317,Codeforces Round 188 (Div. 1),tourist,24,2013-06-14 17:30:00,3195,3088,-107
331,ABBYY Cup 3.0 - Finals (online version),tourist,1,2013-07-17 17:45:00,3088,3136,48
329,Codeforces Round 192 (Div. 1),tourist,9,2013-07-20 15:30:00,3136,3072,-64
